"SubjectID" "activityID" "measurevariable" "x"
1 1 "mean" -0.0494972504386496
2 1 "mean" -0.102310720294463
3 1 "mean" -0.109403564121394
4 1 "mean" -0.134695641691889
5 1 "mean" -0.08780939046184
6 1 "mean" -0.0547116698946418
7 1 "mean" -0.0503434355401133
8 1 "mean" -0.0322983839744939
9 1 "mean" -0.0877995615522829
10 1 "mean" -0.0330739299694285
11 1 "mean" -0.129008567003069
12 1 "mean" -0.0684802095826083
13 1 "mean" -0.0570021650196272
14 1 "mean" -0.118112620481354
15 1 "mean" -0.0955264971301551
16 1 "mean" -0.135775937474469
17 1 "mean" -0.110279827504945
18 1 "mean" -0.146764919110595
19 1 "mean" 0.0287908130633426
20 1 "mean" 0.00110377574582516
21 1 "mean" -0.077907892712516
22 1 "mean" -0.0158139893405734
23 1 "mean" -0.0189708932770057
24 1 "mean" -0.125034762748635
25 1 "mean" -0.156156053790366
26 1 "mean" -0.0894029390982133
27 1 "mean" -0.0999633505050745
28 1 "mean" -0.100330004483002
29 1 "mean" -0.0556810756243475
30 1 "mean" -0.0825836929880064
1 2 "mean" -0.144590960751006
2 2 "mean" -0.101250523918802
3 2 "mean" -0.148058751367592
4 2 "mean" -0.122854601687463
5 2 "mean" -0.0834579105811436
6 2 "mean" -0.0563689698933007
7 2 "mean" -0.16058008332723
8 2 "mean" -0.0240231457039431
9 2 "mean" -0.136922786682144
10 2 "mean" -0.0521029119111463
11 2 "mean" -0.165531695285285
12 2 "mean" -0.135842522838862
13 2 "mean" -0.139708771918462
14 2 "mean" -0.0591483622876389
15 2 "mean" -0.113661544152405
16 2 "mean" -0.162488558897565
17 2 "mean" -0.126258737295936
18 2 "mean" -0.188378928057484
19 2 "mean" -0.0517795203398125
20 2 "mean" -0.0792894407422059
21 2 "mean" -0.120219345201463
22 2 "mean" -0.0513537163745536
23 2 "mean" -0.0897270242411846
24 2 "mean" -0.145862876897309
25 2 "mean" -0.181882329060974
26 2 "mean" -0.125444401969682
27 2 "mean" -0.158592876017525
28 2 "mean" -0.129476319210041
29 2 "mean" -0.091060676936216
30 2 "mean" -0.142674482836456
1 3 "mean" -0.0168219502954677
2 3 "mean" 0.00620002769518617
3 3 "mean" -0.0632763181161565
4 3 "mean" -0.0786718930002778
5 3 "mean" -0.0219577825401267
6 3 "mean" 0.052084908026441
7 3 "mean" -0.0448988410415691
8 3 "mean" 0.072512700599693
9 3 "mean" -0.037271257616247
10 3 "mean" 0.0118550428471382
11 3 "mean" -0.0559432887619656
12 3 "mean" -0.0327923852085294
13 3 "mean" -0.0358671382247739
14 3 "mean" 0.0455944702245278
15 3 "mean" -0.00533689149671627
16 3 "mean" -0.0624755552399291
17 3 "mean" -0.0853495663367482
18 3 "mean" -0.148604091139477
19 3 "mean" 0.138474907714777
20 3 "mean" 0.029882750299362
21 3 "mean" -0.0276516595594537
22 3 "mean" -0.0141948411822118
23 3 "mean" 0.0641946130905941
24 3 "mean" -0.0711804733591591
25 3 "mean" -0.122038180456013
26 3 "mean" -0.0301483836802575
27 3 "mean" -0.0387235796768277
28 3 "mean" -0.00741145944731793
29 3 "mean" -0.0249738329224175
30 3 "mean" -0.0519252101372513
1 4 "mean" -0.308272773135718
2 4 "mean" -0.323066727854089
3 4 "mean" -0.306388257160873
4 4 "mean" -0.308908643647221
5 4 "mean" -0.308287860919106
6 4 "mean" -0.310004281696235
7 4 "mean" -0.313759935378021
8 4 "mean" -0.310634017300913
9 4 "mean" -0.31191867136825
10 4 "mean" -0.326180927140748
11 4 "mean" -0.310713516518042
12 4 "mean" -0.31561151660527
13 4 "mean" -0.320985818166537
14 4 "mean" -0.327247765933779
15 4 "mean" -0.319316661157333
16 4 "mean" -0.324491890956504
17 4 "mean" -0.335175457253633
18 4 "mean" -0.31844812174241
19 4 "mean" -0.303475012905282
20 4 "mean" -0.313332159037639
21 4 "mean" -0.328121891457823
22 4 "mean" -0.304604044729429
23 4 "mean" -0.316436381332411
24 4 "mean" -0.315840509093593
25 4 "mean" -0.315238887821942
26 4 "mean" -0.312414076213824
27 4 "mean" -0.312888370480494
28 4 "mean" -0.321735741528102
29 4 "mean" -0.313553843439639
30 4 "mean" -0.311959732787767
1 5 "mean" -0.340436106524439
2 5 "mean" -0.336322652989498
3 5 "mean" -0.322556793269291
4 5 "mean" -0.308279972701297
5 5 "mean" -0.303187228695379
6 5 "mean" -0.32535583498242
7 5 "mean" -0.324999874694355
8 5 "mean" -0.329866925775694
9 5 "mean" -0.314456670239639
10 5 "mean" -0.31617599849553
11 5 "mean" -0.33040462394133
12 5 "mean" -0.326086011354235
13 5 "mean" -0.338011826614379
14 5 "mean" -0.344980314648035
15 5 "mean" -0.326825719601567
16 5 "mean" -0.336518058565796
17 5 "mean" -0.350391404273162
18 5 "mean" -0.336529184159872
